;timestamp;Signalname;interpreted_value;sequence_id
176;61115513837900.0;S-B;b;35
177;61148116177000.0;S-E;b;35
178;61185093536700.0;S-C;e;35
179;61185093536700.0;S-D;d;35
180;61185155994100.0;S-E;d;35
181;61115513837900.0;S-B;b;36
182;61185155994100.0;S-E;d;36
183;61191204285100.0;S-C;e;36
184;61115513837900.0;S-B;b;37
185;61185155994100.0;S-E;d;37
186;61197104374500.0;S-C;f;37
187;61197104374500.0;S-D;b;37
188;61197155475800.0;S-E;b;37
189;61115513837900.0;S-B;b;38
190;61197155475800.0;S-E;b;38
191;61237584718600.0;S-C;e;38
192;61237584718600.0;S-D;d;38
193;61237635182600.0;S-E;d;38
194;61115513837900.0;S-B;b;39
195;61237635182600.0;S-E;d;39
196;61241924842900.0;S-C;f;39
197;61241924842900.0;S-D;b;39
198;61241955738500.0;S-E;b;39
199;61115513837900.0;S-B;b;40
200;61241955738500.0;S-E;b;40
201;61268718274300.0;S-C;e;40
202;61268718274300.0;S-D;d;40
203;61268756444100.0;S-E;d;40
204;61115513837900.0;S-B;b;41
205;61268756444100.0;S-E;d;41
206;61276954283800.0;S-C;f;41
207;61276954283800.0;S-D;b;41
208;61276996475000.0;S-E;b;41
209;61115513837900.0;S-B;b;42
210;61276996475000.0;S-E;b;42
211;61303973106100.0;S-C;e;42
212;61303973106100.0;S-D;d;42
213;61304036204000.0;S-E;d;42
214;61115513837900.0;S-B;b;43
215;61304036204000.0;S-E;d;43
216;61309973350600.0;S-C;f;43
217;61309973350600.0;S-D;b;43
218;61310036320600.0;S-E;b;43
219;61115513837900.0;S-B;b;44
220;61310036320600.0;S-E;b;44
221;61313982909400.0;S-C;e;44
222;61313982909400.0;S-D;d;44
223;61314036531500.0;S-E;d;44
224;61115513837900.0;S-B;b;45
225;61314036531500.0;S-E;d;45
226;61327433276500.0;S-C;e;45
227;61115513837900.0;S-B;b;46
228;61314036531500.0;S-E;d;46
229;61561751479000.0;S-C;f;46
230;61115513837900.0;S-B;b;47
231;61314036531500.0;S-E;d;47
232;61573881700300.0;S-C;e;47
233;61115513837900.0;S-B;b;48
234;61314036531500.0;S-E;d;48
235;61779720649600.0;S-C;f;48
236;61779720649600.0;S-D;b;48
237;61779764317900.0;S-E;b;48
238;61115513837900.0;S-B;b;49
239;61779764317900.0;S-E;b;49
240;61783520422400.0;S-C;e;49
241;61783520422400.0;S-D;d;49
242;61783566682600.0;S-E;d;49
243;61783566682600.0;S-E;d;50
244;61115513837900.0;S-B;b;49
245;61786390481600.0;S-C;e;49
246;61797630050300.0;S-D;b;49
247;61797684820000.0;S-E;b;49
248;61797684820000.0;S-E;b;50
249;61115513837900.0;S-B;b;50
250;61797630050300.0;S-C;f;50
251;61800290536400.0;S-D;d;50
252;61800326697000.0;S-E;d;50
253;61800326697000.0;S-E;d;51
254;61115513837900.0;S-B;b;51
255;61800290536400.0;S-C;e;51
256;61810300482500.0;S-D;b;51
257;61810366806200.0;S-E;b;51
258;61115513837900.0;S-B;b;52
259;61810366806200.0;S-E;b;52
260;61810300482500.0;S-C;f;52
261;61818420370900.0;S-D;d;52
262;61818485996800.0;S-E;d;52
263;61115513837900.0;S-B;b;53
264;61818485996800.0;S-E;d;53
265;61825089903400.0;S-C;f;53
266;61825089903400.0;S-D;b;53
267;61825125651800.0;S-E;b;53
268;61115513837900.0;S-B;b;54
269;61825125651800.0;S-E;b;54
270;61828215107200.0;S-C;e;54
271;61828215107200.0;S-D;d;54
272;61828245469000.0;S-E;d;54
273;61828245469000.0;S-E;d;55
274;61115513837900.0;S-B;b;56
275;61829320010800.0;S-C;e;56
276;61834879962000.0;S-C;f;57
277;61834879962000.0;S-D;b;57
278;61834926240600.0;S-E;b;57
279;61115513837900.0;S-B;b;58
280;61834926240600.0;S-E;b;58
281;61840331353100.0;S-C;e;58
282;61840331353100.0;S-D;d;58
283;61840365879800.0;S-E;d;58
284;61115513837900.0;S-B;b;59
285;61840365879800.0;S-E;d;59
286;61843219929100.0;S-C;f;59
287;61843219929100.0;S-D;b;59
288;61843285687200.0;S-E;b;59
289;61115513837900.0;S-B;b;60
290;61843285687200.0;S-E;b;60
291;61844665836700.0;S-C;e;60
292;61844665836700.0;S-D;d;60
293;61844725841400.0;S-E;d;60
294;61115513837900.0;S-B;b;61
295;61844725841400.0;S-E;d;61
296;61850670176200.0;S-C;f;61
297;61850670176200.0;S-D;b;61
298;61850725747700.0;S-E;b;61
299;61844725841400.0;S-E;d;62
300;61850725747700.0;S-E;b;62
301;61864240704000.0;S-C;e;62
302;61864240704000.0;S-D;d;62
303;61864286501800.0;S-E;d;62
304;61115513837900.0;S-B;b;63
305;61864286501800.0;S-E;d;63
306;61874029670800.0;S-C;f;63
307;61874029670800.0;S-D;b;63
308;61874085990000.0;S-E;b;63
309;61115513837900.0;S-B;b;64
310;61874085990000.0;S-E;b;64
311;61878589625500.0;S-C;e;64
312;61878589625500.0;S-D;d;64
313;61878646059300.0;S-E;d;64
314;61115513837900.0;S-B;b;65
315;61878646059300.0;S-E;d;65
316;61885149831300.0;S-C;f;65
317;61885149831300.0;S-D;b;65
318;61885206717400.0;S-E;b;65
319;61115513837900.0;S-B;b;66
320;61885206717400.0;S-E;b;66
321;61885589662900.0;S-C;e;66
322;61885589662900.0;S-D;d;66
323;61885646441100.0;S-E;d;66
324;61885646441100.0;S-E;d;67
325;61115513837900.0;S-B;b;67
326;61891714361300.0;S-D;b;67
327;61891714361300.0;S-C;f;67
328;61891766858600.0;S-E;b;67
329;61891766858600.0;S-E;b;67
330;61115513837900.0;S-B;b;68
331;61905939422900.0;S-C;e;68
332;61905939422900.0;S-D;d;68
333;61905966564000.0;S-E;d;68
334;61905966564000.0;S-E;d;68
335;61115513837900.0;S-B;b;69
336;61911729336400.0;S-C;f;69
337;61911729336400.0;S-D;b;69
338;61911766292700.0;S-E;b;69
339;61115513837900.0;S-B;b;70
340;61911766292700.0;S-E;b;70
341;61918839938000.0;S-C;e;70
342;61918839938000.0;S-D;d;70
343;61918886513800.0;S-E;d;70
344;63332230858400.0;S-E;d;71
345;61115513837900.0;S-B;b;71
346;63340756279600.0;S-C;e;71
347;63332230858400.0;S-E;d;72
348;61115513837900.0;S-B;b;72
349;64002886151300.0;S-C;f;72
350;63332230858400.0;S-E;d;73
351;61115513837900.0;S-B;b;73
352;64015235299000.0;S-C;e;73
353;63332230858400.0;S-E;d;74
354;61115513837900.0;S-B;b;74
355;64016354909800.0;S-C;f;74
356;61115513837900.0;S-B;b;75
357;63332230858400.0;S-E;d;75
358;66095629099600.0;S-C;f;75
359;66238557595700.0;S-E;b;75
360;66238557595700.0;S-E;b;76
361;61115513837900.0;S-B;b;76
362;65990583675800.0;S-B;d;76
363;66239097995400.0;S-E;d;76
364;65990583675800.0;S-B;d;77
365;66637813835600.0;S-A;a;77
366;66637824589000.0;S-B;b;77
367;66638013880400.0;S-A;c;77
368;68031299271200.0;S-C;e;77
369;66637824589000.0;S-B;b;78
370;69237760301400.0;S-B;d;78
371;66239097995400.0;S-E;d;78
372;69348662020700.0;S-C;f;78
373;69237760301400.0;S-B;d;79
374;66239097995400.0;S-E;d;79
375;69520571364000.0;S-C;e;79
376;69528432629300.0;S-C;f;79
377;69564255725100.0;S-A;a;80
378;69564256373300.0;S-B;b;80
379;69564455742400.0;S-A;c;80
380;70924966245200.0;S-C;e;80
