;timestamp;Signalname;interpreted_value
173;12011695322400.0;S-A;a
174;12011995187700.0;S-A;a
175;12012095211900.0;S-A;a
176;12012295240600.0;S-A;a
177;12012395600200.0;S-A;a
178;12012595262700.0;S-A;a
179;12021035918000.0;S-A;a
180;12021335618500.0;S-A;a
181;12103118034600.0;S-A;a
182;12103317687900.0;S-A;a
183;12105458389000.0;S-A;a
184;12105658168700.0;S-A;a
185;12105998170700.0;S-A;a
186;12106197749000.0;S-A;a
187;12106297812200.0;S-A;a
188;12106497813100.0;S-A;a
189;12106597839400.0;S-A;a
190;12106697752400.0;S-A;a
191;12107097839800.0;S-A;a
192;12107197852400.0;S-A;a
193;12497466989700.0;S-A;e
194;12497666704000.0;S-A;a
195;12512467452600.0;S-A;e
196;12512767633000.0;S-A;a
197;12538807356500.0;S-A;e
198;12539107491600.0;S-A;a
199;12601209567500.0;S-A;a
200;12601409569400.0;S-A;a
201;12602829442600.0;S-A;a
202;12603029496100.0;S-A;a
203;12603489324100.0;S-A;a
204;12603689371500.0;S-A;a
205;12603989382500.0;S-A;a
206;12604088536800.0;S-A;a
207;12604289524400.0;S-A;a
208;12604389488700.0;S-A;a
209;12604589483800.0;S-A;a
210;12604689386100.0;S-A;a
211;12604889495300.0;S-A;a
212;12604989397400.0;S-A;a
213;12605289422400.0;S-A;a
214;12605389416100.0;S-A;a
215;12605848524900.0;S-A;a
216;12606148631000.0;S-A;a
217;12606608625500.0;S-A;a
218;12606808573500.0;S-A;a
219;12607448691700.0;S-A;a
220;12607648702400.0;S-A;a
221;12809304309500.0;S-A;d
222;12859305146600.0;S-A;a
223;12891205638800.0;S-A;f
224;12900705862900.0;S-A;a
225;12938247517900.0;S-A;e
226;12938347287400.0;S-A;f
227;12944147292600.0;S-A;a
228;59097145582800.0;S-A;c
229;59097245574600.0;S-A;d
230;59102146106800.0;S-A;a
231;59128225827300.0;S-A;e
232;59128325718500.0;S-A;f
233;59153425582300.0;S-A;a
234;59194706126400.0;S-A;c
235;59194806213200.0;S-A;d
236;59215007410000.0;S-A;a
237;59520880198000.0;S-A;c
238;59521180212800.0;S-A;a
239;59983436456000.0;S-A;e
240;59983636988400.0;S-A;f
241;59997436563200.0;S-A;a
242;60009786943300.0;S-A;e
243;60009986817600.0;S-A;f
244;60013687138000.0;S-A;a
245;60225129568800.0;S-A;e
246;60225830420800.0;S-A;a
247;61136333943000.0;S-A;c
248;61136533934400.0;S-A;d
249;61148333433000.0;S-A;a
250;61335296373100.0;S-A;e
251;61335597174100.0;S-A;a
252;61690392868400.0;S-A;a
253;61690692838700.0;S-A;a
254;61793124550100.0;S-A;e
255;61793424131800.0;S-A;a
256;61960227417900.0;S-A;c
257;61960527122000.0;S-A;a
258;61968147428200.0;S-A;e
259;61968347498200.0;S-A;a
260;62085219231500.0;S-A;c
261;62085419241700.0;S-A;a
262;62275122384300.0;S-A;c
263;62275422355500.0;S-A;a
264;62279683449300.0;S-A;d
265;62297283701000.0;S-A;a
266;62306084292800.0;S-A;c
267;62306284053800.0;S-A;a
268;62364464165400.0;S-A;c
269;62364664194900.0;S-A;a
270;62500376978400.0;S-A;e
271;62500777264000.0;S-A;a
272;62520356986600.0;S-A;e
273;62520757044800.0;S-A;a
274;62543817798800.0;S-A;e
275;62544117028000.0;S-A;f
276;62549717123600.0;S-A;a
277;62599918321600.0;S-A;c
278;62600218296300.0;S-A;a
279;62617799171900.0;S-A;c
280;62617999187600.0;S-A;a
281;62664299981000.0;S-A;c
282;62664500020100.0;S-A;a
283;62734811040500.0;S-A;e
284;62735110864200.0;S-A;a
285;62806211918200.0;S-A;c
286;62806511921100.0;S-A;a
287;62831352936000.0;S-A;e
288;62831552980000.0;S-A;a
289;62889673574300.0;S-A;c
290;62889973607100.0;S-A;a
291;62907074230400.0;S-A;e
292;62907374670000.0;S-A;a
293;62919073901600.0;S-A;e
294;62919374095800.0;S-A;a
295;62930954395200.0;S-A;c
296;62931254387200.0;S-A;a
297;62936595349900.0;S-A;c
298;62936795038800.0;S-A;a
299;63038425807600.0;S-A;e
300;63038726548200.0;S-A;a
301;63041846104600.0;S-A;e
302;63042146550000.0;S-A;a
303;63052346403800.0;S-A;c
304;63052646435700.0;S-A;a
305;63054446511200.0;S-A;c
306;63056846618800.0;S-A;a
307;63064106831000.0;S-A;e
308;63064506849300.0;S-A;a
309;63072866930700.0;S-A;c
310;63073066821500.0;S-A;a
311;63083246864600.0;S-A;e
312;63083446879200.0;S-A;a
313;63096267693300.0;S-A;e
314;63096567160800.0;S-A;a
315;63175229273500.0;S-A;c
316;63175529072600.0;S-A;a
317;63177569245700.0;S-A;c
318;63178068703200.0;S-A;a
319;63215849208600.0;S-A;e
320;63216149186800.0;S-A;a
321;63218609318400.0;S-A;e
322;63218909298300.0;S-A;a
323;63231268873200.0;S-A;c
324;63231569678900.0;S-A;a
325;63241609268800.0;S-A;c
326;63241909264100.0;S-A;a
327;63317490394000.0;S-A;e
328;63317790384600.0;S-A;a
329;63322171039400.0;S-A;e
330;63322470644800.0;S-A;a
331;63356920746400.0;S-A;c
332;63357220906300.0;S-A;a
333;63374501975200.0;S-A;c
334;63374801984600.0;S-A;a
